cell,celliso,iso,lon,lat,lpj
GLO.4514,COD.4514,COD,23.75,3.75,32778
GLO.4515,COD.4515,COD,23.75,4.25,32779
GLO.4516,COD.4516,COD,23.75,4.75,32780
GLO.4517,CAF.4517,CAF,23.75,5.25,32781
GLO.4518,CAF.4518,CAF,23.75,5.75,32782
GLO.4519,CAF.4519,CAF,23.75,6.25,32783
GLO.4520,CAF.4520,CAF,23.75,6.75,32784
GLO.4521,CAF.4521,CAF,23.75,7.25,32785
GLO.4522,CAF.4522,CAF,23.75,7.75,32786
GLO.4523,CAF.4523,CAF,23.75,8.25,32787
GLO.4524,CAF.4524,CAF,23.75,8.75,32788
GLO.4525,SDN.4525,SDN,23.75,9.25,32789
GLO.4526,SDN.4526,SDN,23.75,9.75,32790
GLO.4527,SDN.4527,SDN,23.75,10.25,32791
GLO.4528,SDN.4528,SDN,23.75,10.75,32792
GLO.4529,SDN.4529,SDN,23.75,11.25,32793
GLO.4530,SDN.4530,SDN,23.75,11.75,32794
GLO.4531,SDN.4531,SDN,23.75,12.25,32795
GLO.4532,SDN.4532,SDN,23.75,12.75,32796
GLO.4533,SDN.4533,SDN,23.75,13.25,32797
GLO.4534,SDN.4534,SDN,23.75,13.75,32798
GLO.4535,SDN.4535,SDN,23.75,14.25,32799
GLO.4536,SDN.4536,SDN,23.75,14.75,32800
GLO.4537,SDN.4537,SDN,23.75,15.25,32801
GLO.4538,TCD.4538,TCD,23.75,15.75,32802
GLO.4539,TCD.4539,TCD,23.75,16.25,32803
GLO.4540,TCD.4540,TCD,23.75,16.75,32804
GLO.4541,TCD.4541,TCD,23.75,17.25,32805
GLO.4542,TCD.4542,TCD,23.75,17.75,32806
GLO.4543,TCD.4543,TCD,23.75,18.25,32807
GLO.4544,TCD.4544,TCD,23.75,18.75,32808
GLO.4545,TCD.4545,TCD,23.75,19.25,32809
GLO.4546,ZAF.4546,ZAF,24.25,-33.75,32907
GLO.4547,ZAF.4547,ZAF,24.25,-33.25,32908
GLO.4548,ZAF.4548,ZAF,24.25,-32.75,32909
GLO.4549,ZAF.4549,ZAF,24.25,-32.25,32910
GLO.4550,ZAF.4550,ZAF,24.25,-31.75,32911
GLO.4551,ZAF.4551,ZAF,24.25,-31.25,32912
GLO.4552,ZAF.4552,ZAF,24.25,-30.75,32913
GLO.4553,ZAF.4553,ZAF,24.25,-30.25,32914
GLO.4554,ZAF.4554,ZAF,24.25,-29.75,32915
GLO.4555,ZAF.4555,ZAF,24.25,-29.25,32916
GLO.4556,ZAF.4556,ZAF,24.25,-28.75,32917
GLO.4557,ZAF.4557,ZAF,24.25,-28.25,32918
GLO.4558,ZAF.4558,ZAF,24.25,-27.75,32919
