"","ISO","alri","ihd","copd","stroke","lc"
"566","PRY",88.2971891640453,29.5470555046884,68.2432846378805,NA,28.1694871756745
"572","ALB",88.4576198766697,NA,NA,34.5403210216675,NA
"584",NA,87.9313319714413,28.9028408554052,72.5071552569436,35.8647834662574,28.1842621767831
"590","ISR",87.6887003820426,29.5140306488957,240.058781812371,34.2124515615834,28.1638454780879
"596","KEN",87.942680365381,29.4566206739529,201.691597201868,41.8416797620808,28.1534965644809
"638","ROU",93.5295610956303,30.2806935922901,274.691647092356,42.249979625932,28.1662048257214
"644","SLB",97.3624220859411,29.0924714551144,115.702320396326,35.0878658044592,28.1897188027548
"653","URY",88.3922793162416,29.3070884995872,168.607324605595,36.5975776299605,28.1571375362261
"659","VIR",NA,29.059953085041,56.6009471302688,34.8112048920705,NA
"662","GMB",87.6051792569504,28.3416244507396,70.2914767897357,31.0158859199277,NA
"667","AFG",NA,28.3367605046747,62.927845509827,29.9414605737203,28.2276258781297
"678","BLZ",87.6318525867659,28.8079395113138,53.6019613501518,32.5247945668655,28.1806479243204
"684","IRQ",87.4375095423937,28.4682088725375,61.8263613578597,31.0731817896422,28.2086483629484
"702","ARG",87.0305608245149,28.7655371338174,75.4567184079655,30.9737459074403,28.2242777425037
"708","CMR",87.0576213843989,28.4662479401467,57.9708725196455,29.433460499635,28.2676757898416
"714","CUB",87.0053802506871,NA,NA,NA,28.2321812133594
"721","ETH",87.3429477843422,NA,NA,NA,28.2228469127306
"727","CAF",87.0544772059508,29.4217474565207,55.275434125106,30.374554601508,28.2311166332204
"738","DZA",87.0581855162959,29.0493539833764,64.5992530771644,31.1577616221551,NA
"743","FIN",NA,28.7175807895624,47.3283428990469,29.7062276178909,28.2379322037466
"747","FRA",87.115075047019,29.6597924830982,69.7406441265206,31.4606752988225,28.204197126065
"775","SAU",87.0878856104051,30.5785119342515,62.442676984641,31.6519620079931,28.2096051075392
"781","SOM",87.7177252586417,28.8478770181797,NA,32.8428299882409,NA
"785","SVN",87.0498666409138,NA,NA,NA,28.2441484973178
"789","UZB",87.1240059036447,29.3773477088611,69.7789880013366,31.0998798724352,28.2264594626947
"794","ABW",87.0393614589384,NA,67.212158586991,NA,28.2380196132499
"816","SWE",87.2047803035732,29.4741148433149,107.504917624686,32.2320003659599,28.2242569823761
"822","THA",87.2975055086757,29.1733465912919,74.9958571101986,30.1880385057521,28.247210102581
"828","VNM",87.2352016557104,29.2005702186098,114.516925589,30.6580017759348,28.240952220848
"834","BIH",86.948962682267,29.2939377144437,62.5335507330909,30.6482107682263,28.2167132670461
"840","BWA",86.9229891447399,29.00911777163,76.757117083529,30.9326714787804,28.2339059821339
"846","CHE",86.9835675949703,29.2599482087882,59.4650123508816,30.4177125597156,28.2287349908244
"852","CHN",87.2641070197926,29.3941862037722,NA,32.5769908479358,NA
"856","COG",86.839257100405,29.2982210401354,NA,30.293477286244,28.2285071652231
"861","CZE",NA,NA,NA,NA,NA
"869","HND",86.9245261390329,28.7445668129571,56.4505973513559,29.759099776498,28.2345533921399
"875","HRV",86.928668554309,28.613685218341,NA,29.5669462531133,28.2502051422937
"910","SGP",87.393983638454,29.3586650102998,46.2493821866734,30.8621803914229,28.2052291403273
